"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.937771667E-1,1.231582076E0,7.821908087E-2,9.917064857E-1
8.038271667E-1,1.029436668E0,4.185743943E-1,9.326613021E-1
8.138761667E-1,8.643349792E-1,7.348412257E-1,1.070129342E0
8.239261667E-1,7.850401568E-1,9.589220247E-1,1.567502276E0
8.339751667E-1,6.970698206E-1,9.084128988E-1,2.352161195E0
8.440251667E-1,6.201586888E-1,7.113272327E-1,3.068303025E0
8.540741667E-1,8.384281594E-1,5.251217732E-1,3.701636002E0
8.641231667E-1,1.091335951E0,4.503928953E-1,3.677961795E0
8.741731667E-1,1.276558566E0,5.628021079E-1,2.907912730E0
8.842221667E-1,1.516942572E0,8.986430785E-1,2.086992304E0
8.942721667E-1,1.672631705E0,1.386716893E0,1.620767487E0
9.043211667E-1,1.632853097E0,1.964894547E0,1.616963289E0
9.143711667E-1,1.496409636E0,2.148694462E0,2.099625213E0
9.244201667E-1,1.510506688E0,1.708587112E0,2.946000323E0
9.344701667E-1,1.705812608E0,9.163124871E-1,3.790411354E0
9.445191667E-1,1.921244205E0,9.928923011E-2,4.169589255E0
9.545691667E-1,2.029048443E0,-4.808636132E-1,3.959872434E0
9.646181667E-1,2.141276684E0,-6.482463008E-1,3.421369016E0
9.746671667E-1,2.166108786E0,-4.946127561E-1,2.765302064E0
9.847171667E-1,2.082068656E0,-2.326282588E-1,1.964968514E0
9.947661667E-1,2.056478609E0,9.215562701E-2,1.104800992E0
1.004816167E0,2.119760977E0,3.678369346E-1,3.708748555E-1
1.014865167E0,2.187320584E0,5.054792216E-1,6.190330267E-2
1.024915167E0,2.185161207E0,4.258629486E-1,3.172067714E-1
1.034964167E0,1.985212452E0,-3.552066565E-2,1.009438752E0
1.045014167E0,1.729012751E0,-7.107357869E-1,1.557459683E0
1.055063167E0,1.534195659E0,-1.322703331E0,1.874109215E0
1.065112167E0,1.337613877E0,-1.847036607E0,1.930896789E0
1.075162167E0,1.063976317E0,-2.171498603E0,1.474049737E0
1.085211167E0,8.196278992E-1,-2.187907645E0,5.260120118E-1
1.095261167E0,6.337013519E-1,-1.818350751E0,-7.678236151E-1
1.105310167E0,6.042748737E-1,-1.279053866E0,-1.948299857E0
1.115360167E0,7.662218434E-1,-8.158465049E-1,-2.889454240E0
1.125409167E0,1.066104704E0,-5.142746034E-1,-3.409724286E0
1.135459167E0,1.298185078E0,-4.649100700E-1,-3.487154869E0
1.145508167E0,1.383165733E0,-6.957713002E-1,-3.194449686E0
1.155558167E0,1.299133058E0,-1.113348744E0,-2.939739709E0
1.165607167E0,1.129956883E0,-1.434999107E0,-2.941764600E0
1.175656167E0,9.131941670E-1,-1.577906519E0,-3.064066132E0
1.185706167E0,6.639098221E-1,-1.458949595E0,-3.228039601E0
1.195755167E0,5.526675676E-1,-1.188590715E0,-3.427607410E0
1.205805167E0,5.738550997E-1,-9.029843438E-1,-3.732696996E0
1.215854167E0,6.714613549E-1,-5.578609183E-1,-4.025637823E0
1.225904167E0,8.291008271E-1,-1.367804074E-1,-4.092593704E0
1.235953167E0,9.582626049E-1,2.756775069E-1,-3.971965646E0
1.246003167E0,1.071280513E0,5.263151899E-1,-3.608967574E0
1.256052167E0,1.172050185E0,4.680909553E-1,-3.099153519E0
1.266101167E0,1.184343590E0,2.339763343E-1,-2.587029229E0
1.276151167E0,1.169524992E0,5.369819731E-2,-1.851752971E0
1.286200167E0,1.028040353E0,-8.855812758E-2,-9.768124580E-1
1.296250167E0,8.107944375E-1,-1.781760630E-1,-1.584238762E-1
1.306299167E0,5.960184590E-1,-2.336386576E-1,4.699220109E-1
1.316349167E0,5.014846597E-1,-2.879423341E-1,7.398072660E-1
1.326398167E0,5.688161520E-1,-1.418341559E-1,5.680283493E-1
1.336448167E0,8.797635886E-1,2.521602979E-1,2.744314653E-1
1.346497167E0,1.072706649E0,8.480193472E-1,1.453916019E-1
1.356547167E0,1.067314492E0,1.379999027E0,-9.188957870E-2
1.366596167E0,9.396103524E-1,1.536295102E0,-1.000721723E-1
1.376645167E0,5.458954686E-1,1.391198784E0,5.961172038E-1
1.386695167E0,1.179310307E-1,1.020459292E0,1.656049587E0
1.396747708E0,-2.465447782E-1,5.488377875E-1,2.676153660E0
1.406797708E0,-4.545162787E-1,1.666655266E-1,3.345289723E0
1.416846708E0,-6.589377885E-1,-9.985670239E-2,3.623548776E0
1.426896708E0,-9.884964374E-1,-1.605835453E-1,3.511291006E0
1.436945708E0,-1.134416847E0,1.190113038E-1,3.140521985E0
1.446995708E0,-1.067612774E0,5.712130353E-1,2.822273825E0
1.457044708E0,-9.851662289E-1,1.025235590E0,2.667900900E0
1.467094708E0,-9.791570453E-1,1.176632574E0,2.913155928E0
1.477143708E0,-1.002245946E0,8.536031458E-1,3.615833960E0
1.487192708E0,-1.088760471E0,1.681358090E-1,4.508510832E0
1.497242708E0,-1.040684957E0,-5.285698763E-1,5.202732620E0
1.507291708E0,-8.814899790E-1,-1.032111331E0,5.594321237E0
1.517341708E0,-7.276577020E-1,-1.385697431E0,5.277641884E0
1.527390708E0,-7.732895192E-1,-1.487682228E0,4.110400815E0
1.537440708E0,-7.985386734E-1,-1.156945584E0,2.699204553E0
1.547489708E0,-5.905666613E-1,-5.533079839E-1,1.360929503E0
1.557539708E0,-4.604639934E-1,8.602949917E-2,5.548083794E-1
1.567588708E0,-4.516363057E-1,5.878205895E-1,5.368720454E-1
1.577637708E0,-4.501935053E-1,7.243258855E-1,1.091435426E0
1.587687708E0,-4.777732866E-1,4.199400115E-1,1.516360189E0
1.597736708E0,-4.795930863E-1,-1.090973496E-2,1.653302565E0
1.607786708E0,-3.327962523E-1,-4.025708574E-1,1.347922956E0
1.617835708E0,-1.273915333E-1,-6.926243287E-1,7.531365788E-1
1.627885708E0,1.800709994E-1,-8.397163010E-1,9.020324171E-2
1.637934708E0,4.470075037E-1,-9.523786980E-1,-5.881462795E-1
1.647984708E0,6.547435807E-1,-1.089792359E0,-1.297015343E0
1.658033708E0,7.650438488E-1,-1.169127381E0,-2.046347723E0
1.668082708E0,7.440576801E-1,-1.104143180E0,-2.825525461E0
1.678132708E0,6.970207040E-1,-1.004909499E0,-3.491197634E0
1.688181708E0,7.069212095E-1,-9.358959818E-1,-4.137903779E0
1.698231708E0,8.706868096E-1,-9.161034492E-1,-4.768595569E0
1.708280708E0,1.097145671E0,-9.221442077E-1,-5.192892340E0
1.718330708E0,1.207480072E0,-8.941506627E-1,-5.245277545E0
1.728379708E0,1.142606896E0,-8.955393764E-1,-5.035963013E0
1.738429708E0,9.656237378E-1,-9.860893580E-1,-4.746214181E0
1.748478708E0,7.779162747E-1,-1.026377551E0,-4.570052192E0
1.758528708E0,5.236705673E-1,-9.546772385E-1,-4.265433306E0
1.768577708E0,2.964066356E-1,-6.365939695E-1,-3.855568047E0
1.778626708E0,1.820536075E-1,-3.875671944E-1,-3.473427361E0
1.788676708E0,1.591293062E-1,-2.845430553E-1,-3.122649386E0
1.798725708E0,-3.243501686E-2,-2.360146737E-1,-2.698355538E0
1.808775708E0,-1.765885440E-1,-1.226587969E-1,-2.266904697E0
1.818824708E0,-2.298054971E-1,3.931346208E-2,-1.822508122E0
1.828874708E0,-2.408506682E-1,1.074548668E-1,-1.423941438E0
1.838923708E0,-7.739937432E-2,1.255353346E-1,-9.874286628E-1
1.848973708E0,8.580684816E-2,2.084757498E-1,-4.017569250E-1
1.859022708E0,2.381329189E-1,1.892445499E-1,-1.501740396E-2
1.869071708E0,4.243152637E-1,1.459924033E-1,3.419580352E-1
1.879121708E0,5.375752827E-1,7.909528613E-2,5.268557650E-1
1.889170708E0,5.414579435E-1,4.241979539E-2,3.492144299E-1
1.899220708E0,5.239634032E-1,2.443460789E-1,1.342316061E-1
1.909269708E0,5.336364155E-1,7.827267060E-1,-6.821010947E-2
1.919319708E0,6.436427879E-1,1.454290533E0,-2.693812251E-1
1.929368708E0,7.349138774E-1,2.020608864E0,-3.922698176E-1
1.939418708E0,7.417705417E-1,2.293160450E0,-3.698948622E-1
1.949467708E0,7.550728112E-1,2.196746588E0,-5.740796328E-2
1.959517708E0,6.934153108E-1,1.740614066E0,5.218645817E-1
1.969566708E0,4.833926801E-1,1.155529973E0,1.274564958E0
1.979615708E0,2.814027350E-1,9.372563365E-1,2.340208316E0
1.989665708E0,6.623253546E-2,1.134946897E0,3.288638390E0
1.999714708E0,-1.278200245E-1,1.521860665E0,3.517238209E0
2.009764708E0,-2.016647668E-1,2.063594670E0,3.136992606E0
2.019813708E0,-8.615362460E-2,2.686796762E0,2.327370170E0
2.029863708E0,1.288768265E-1,3.304094042E0,1.653078032E0
2.039912708E0,4.202477943E-1,3.560189517E0,1.303952479E0
2.049962708E0,7.495805946E-1,3.062342958E0,1.654232272E0
2.060011708E0,8.536898308E-1,1.928746768E0,2.720848022E0
2.070060708E0,8.571719208E-1,4.650895795E-1,4.012358211E0
2.080110708E0,8.636598451E-1,-8.613559690E-1,4.959743387E0
2.090159708E0,8.093645740E-1,-1.878431769E0,5.420641390E0
2.100209708E0,7.963845592E-1,-2.507867577E0,5.480563071E0
2.110258708E0,7.555115716E-1,-2.657239964E0,5.317173155E0
2.120308708E0,6.645399327E-1,-2.351771185E0,4.855578749E0
2.130357708E0,5.238742332E-1,-1.709567105E0,3.824435132E0
2.140407708E0,4.436389227E-1,-8.611820143E-1,2.643559526E0
2.150456708E0,3.775332993E-1,-1.293009415E-1,1.531592186E0
2.160505708E0,2.774468744E-1,3.336956272E-1,4.983511734E-1
2.170555708E0,2.104117629E-1,4.382102215E-1,-3.793100488E-1
2.180604708E0,2.510597058E-1,3.697513130E-1,-8.853824705E-1
2.190654708E0,2.552070627E-1,2.184092921E-1,-7.726136541E-1
2.200703708E0,1.751947139E-1,-1.269968462E-1,-2.177789623E-1
2.210753708E0,1.158634552E-1,-6.384908062E-1,4.633550030E-1
2.220802708E0,1.317434697E-1,-1.156145977E0,8.499565297E-1
2.230852708E0,1.545798435E-1,-1.594364093E0,1.000804169E0
2.240901708E0,1.962962919E-1,-1.960710572E0,7.548369491E-1
2.250950708E0,2.320124008E-1,-2.284750692E0,3.047925478E-1
2.261000708E0,2.269797754E-1,-2.569978456E0,-2.891494918E-1
2.271049708E0,2.405551828E-1,-2.633762808E0,-1.053874667E0
2.281099708E0,3.858532293E-1,-2.442618206E0,-1.806028329E0
2.291148708E0,4.968053158E-1,-2.247696009E0,-2.597226189E0
2.301198708E0,4.736831958E-1,-2.140326219E0,-3.498938178E0
2.311247708E0,3.404946233E-1,-2.012075146E0,-4.420138353E0
2.321297708E0,2.213148284E-1,-1.865291322E0,-5.192723941E0
2.331346708E0,1.969153842E-1,-1.694905504E0,-5.698592879E0
2.341395708E0,3.699223806E-1,-1.527243904E0,-5.793158144E0
2.351445708E0,5.316743823E-1,-1.340339995E0,-5.456893542E0
2.361494708E0,4.881436890E-1,-1.131193569E0,-4.549743057E0
2.371544708E0,3.528926209E-1,-1.052217566E0,-3.554051694E0
2.381593708E0,5.793143526E-2,-1.156313500E0,-2.828898135E0
2.391639708E0,-2.200147913E-1,-1.302878931E0,-2.482201517E0
2.401688708E0,-2.508795750E-1,-1.356246468E0,-2.501916574E0
2.411738708E0,-1.487020762E-1,-1.198468709E0,-2.690079389E0
2.421787708E0,5.688942488E-2,-8.397940689E-1,-2.921269525E0
2.431836708E0,1.837175789E-1,-3.289061728E-1,-2.902823898E0
2.441886708E0,1.949343292E-1,2.399010256E-1,-2.629399323E0
2.451935708E0,3.463406330E-1,6.466049874E-1,-2.055821382E0
2.461985708E0,5.246387201E-1,7.461336610E-1,-1.302472549E0
2.472034708E0,6.813629568E-1,6.150203750E-1,-6.149487466E-1
2.482084708E0,7.004085808E-1,3.728225631E-1,-8.551903725E-2
2.492133708E0,6.515964630E-1,2.011120588E-1,2.486072373E-1
2.502183708E0,5.755957427E-1,1.636325759E-1,4.505227035E-1
2.512232708E0,5.046139068E-1,3.167682302E-1,4.593484908E-1
2.522281708E0,3.161398007E-1,5.952766666E-1,4.592800784E-1
2.532331708E0,8.520507831E-2,9.551494011E-1,6.673649418E-1
2.542380708E0,-1.143455911E-2,1.213129433E0,1.209106548E0
2.552430708E0,-3.461736584E-1,1.079012140E0,1.829738789E0
2.562479708E0,-9.620605177E-1,5.200607157E-1,2.268953562E0
2.572529708E0,-1.533094921E0,1.779655632E-1,2.811437180E0
2.582578708E0,-1.918221779E0,1.759842342E-1,3.632831231E0
2.592628708E0,-2.149918138E0,3.495731565E-1,4.432332137E0
2.602677708E0,-2.265560423E0,6.864873835E-1,5.080790691E0
2.612726708E0,-2.313531564E0,8.870720235E-1,5.359976528E0
2.622776708E0,-2.380788578E0,7.872398794E-1,5.343446449E0
2.632825708E0,-2.388853642E0,6.326219559E-1,5.323296359E0
2.642875708E0,-2.267986725E0,4.899554488E-1,5.343699633E0
2.652924708E0,-2.114368383E0,2.697379053E-1,5.213014948E0
2.662974708E0,-2.044398700E0,-3.247514337E-2,4.907322514E0
2.673023708E0,-2.050520588E0,-2.747937003E-1,4.282130030E0
2.683073708E0,-1.990797128E0,-4.140024564E-1,3.404796837E0
2.693122708E0,-1.812123759E0,-4.230276337E-1,2.360798117E0
2.703171708E0,-1.648234198E0,-2.637833932E-1,1.419794592E0
2.713221708E0,-1.604239455E0,1.979340971E-2,9.184139764E-1
2.723270708E0,-1.606990278E0,3.719036731E-1,7.839777178E-1
2.733320708E0,-1.516548470E0,6.162465361E-1,5.141714001E-1
2.743369708E0,-1.212971193E0,7.433790377E-1,1.521404582E-1
2.753419708E0,-9.094493178E-1,7.156383848E-1,-2.726258451E-1
2.763468708E0,-6.350959128E-1,5.199712533E-1,-7.256903332E-1
2.773517708E0,-2.949696641E-1,1.723130599E-1,-9.945605117E-1
2.783567708E0,-5.198869072E-3,-2.044917494E-1,-1.206667090E0
2.793616708E0,1.552674761E-1,-4.509238225E-1,-1.560993741E0
2.803666708E0,2.752580057E-1,-5.788477448E-1,-2.115072387E0
2.813715708E0,3.204275639E-1,-5.990121603E-1,-2.785505948E0
2.823765708E0,3.924069348E-1,-4.957450694E-1,-3.332450992E0
2.833814708E0,5.493596881E-1,-3.365821052E-1,-3.655168179E0
2.843864708E0,7.087638865E-1,-3.581966302E-1,-3.802437322E0
2.853913708E0,7.496323425E-1,-5.573837855E-1,-3.872752429E0
2.863962708E0,7.163340573E-1,-7.385536230E-1,-3.890558955E0
2.874012708E0,6.349147222E-1,-7.866808856E-1,-3.572931769E0
2.884061708E0,4.750660258E-1,-7.088044515E-1,-3.074246135E0
2.894111708E0,3.031471413E-1,-6.197805932E-1,-2.763209930E0
2.904160708E0,3.808824382E-1,-5.764424926E-1,-2.613192011E0
2.914210708E0,5.644527038E-1,-5.480691710E-1,-2.659109026E0
2.924259708E0,6.910485041E-1,-5.359785908E-1,-2.694815633E0
2.934309708E0,6.127457350E-1,-4.604714486E-1,-2.574694528E0
2.944358708E0,4.418967448E-1,-2.444179997E-1,-2.369310493E0
2.954407708E0,2.976358117E-1,8.981849492E-2,-2.096235582E0
2.964457708E0,2.718621622E-1,3.738195133E-1,-1.732803648E0
2.974506708E0,2.606174183E-1,4.796494389E-1,-1.241222380E0
2.984556708E0,1.571830239E-1,5.494266021E-1,-7.050824064E-1
2.994605708E0,2.617268544E-2,5.513523826E-1,-2.109663713E-1
3.004655708E0,-7.063520562E-2,3.052670494E-1,-4.562465429E-2
3.014704708E0,-6.402675558E-2,-8.429638445E-2,-6.324289978E-2
3.024753708E0,3.728623241E-2,-3.639932674E-1,-5.976731479E-2
3.034803708E0,-3.835334927E-3,-4.959017748E-1,1.816496015E-2
3.044852708E0,-3.691599403E-2,-5.345922160E-1,1.748375952E-2
3.054902708E0,8.519431578E-2,-4.405496925E-1,3.140364110E-2
3.064951708E0,4.353019992E-2,-1.578075796E-1,8.286440134E-2
3.075001708E0,-1.126603322E-1,1.266506910E-1,6.024386287E-2
3.085050708E0,-2.713107149E-1,3.375015798E-1,-7.952213287E-3
3.095100708E0,-5.479239773E-1,5.244043198E-1,4.018849790E-2
3.105149708E0,-7.116663712E-1,6.988618460E-1,4.564161122E-1
3.115198708E0,-9.132856759E-1,9.525821811E-1,1.235007960E0
3.125248708E0,-1.108784992E0,1.228146544E0,1.940164626E0
3.135297708E0,-1.099449109E0,1.322763849E0,2.214021310E0
3.145347708E0,-7.328546342E-1,1.084157105E0,1.897905629E0
3.155396708E0,-2.468783436E-1,8.123077700E-1,1.642000481E0
3.165446708E0,-7.769012712E-2,6.275103199E-1,1.700339906E0
3.175495708E0,-2.742635771E-1,4.320183125E-1,1.722718370E0
3.185545708E0,-6.158253904E-1,3.761364725E-1,2.099208891E0
3.195594708E0,-8.897690517E-1,6.324345526E-1,3.038165306E0
3.205643708E0,-9.535324267E-1,9.001075137E-1,3.940942073E0
3.215693708E0,-8.297893368E-1,8.828368852E-1,4.477279099E0
3.225742708E0,-6.648461806E-1,5.162860456E-1,4.416591432E0
3.235792708E0,-6.055623575E-1,2.876216143E-2,3.947519606E0
3.245841708E0,-6.933712374E-1,-2.715406018E-1,3.263640958E0
3.255891708E0,-8.106902108E-1,-3.423796195E-1,2.483563918E0
3.265940708E0,-9.004122998E-1,-1.866931173E-1,1.567814518E0
3.275989708E0,-9.714014447E-1,2.560633144E-1,8.473013091E-1
3.286039708E0,-1.012961261E0,7.942892826E-1,4.870116681E-1
